Name,Slug,Image,Category,Genre,Year,Region,Actors,Description,Resource URL,Added,Featured
三十而已,san-shi-er-yi,,电视剧,都市; 女性,2020,中国,江疏影; 童瑶; 毛晓彤; 李泽锋,"三个三十岁的上海女人:一个是全职太太,一个是奢侈品店店长,一个刚离婚。婚姻、职场、原生家庭一起找上门,谁都没打算认输。",,2025-04-18,false
山海情,shan-hai-qing,,电视剧,都市; 现实,2021,中国,黄轩; 张嘉益; 闫妮; 热依扎,"宁夏西海固的村民被整村搬迁到戈壁滩上的「吊庄」,从地窝子住起,种蘑菇、修水渠、办工厂。二十多年,一片荒滩变成了闽宁镇。方言版尤其好看。",,2025-07-01,true
走向共和,zou-xiang-gong-he,,电视剧,历史; 古装,2003,中国,王冰; 吕中; 马少骅; 孙淳,"从甲午战争到民国初立,李鸿章、慈禧、袁世凯、孙中山轮番登场。它不给任何人贴标签,只把一个旧帝国如何一步步走到尽头摊开给你看。",,2025-08-09,false
士兵突击,shi-bing-tu-ji,,电视剧,战争; 励志,2006,中国,王宝强; 张译; 陈思诚; 张国强,"「不抛弃,不放弃。」一个笨拙的农村兵许三多,从被所有人嫌弃到走进老 A。全剧几乎没有女性角色,也几乎没有战争场面,却是很多人心里最好的军旅剧。",,2025-02-02,false
潜伏,qian-fu,,电视剧,战争; 悬疑,2009,中国,孙红雷; 姚晨; 沈傲君; 祖峰,"军统天津站的余则成是潜伏的共产党员,身边配了个大字不识的「假妻子」翠平。办公室政治比枪战更凶险,每一句客套话背后都藏着刀。",,2025-03-11,false
长津湖,chang-jin-hu,,电影,战争; 历史,2021,中国,吴京; 易烊千玺; 段奕宏; 朱亚文,"1950 年冬天,志愿军第九兵团在零下四十度的长津湖地区与美军陆战一师作战。冰雕连、七连、雷公——这场战役的残酷被推到了银幕上。",,2025-01-30,false
霸王别姬,ba-wang-bie-ji,,电影,爱情; 剧情,1993,中国,张国荣; 张丰毅; 巩俐; 葛优,"程蝶衣和段小楼从科班学戏到成角儿,一辈子唱《霸王别姬》。半个世纪的时代变动碾过来,「不疯魔不成活」的人先碎了。华语电影绕不开的一部。",,2025-01-05,true
花样年华,hua-yang-nian-hua,,电影,爱情; 文艺,2000,中国香港,梁朝伟; 张曼玉,"两个邻居发现各自的配偶出了轨,于是彼此试探、排练、克制。旗袍、楼道、《梦二主题曲》,爱情被压在礼节底下,一句也没说出口。",,2025-02-20,false
大话西游之大圣娶亲,da-hua-xi-you,,电影,爱情; 喜剧,1995,中国香港,周星驰; 朱茵; 莫文蔚; 吴孟达,"至尊宝拿着月光宝盒一次次回到过去,想救的人始终救不回来。前半段胡闹,后半段全是遗憾。「曾经有一份真挚的感情放在我面前」——这段台词被念了三十年。",,2025-03-28,false
红海行动,hong-hai-xing-dong,,电影,动作; 战争,2018,中国,张译; 黄景瑜; 海清; 杜江,"蛟龙突击队进入内战中的伊维亚共和国撤侨,八个人对上一整支叛军。枪战、巷战、沙漠追车密度极高,几乎不给人喘气的机会。",,2025-04-22,false
叶问,ye-wen,,电影,动作; 传记,2008,中国香港,甄子丹; 熊黛林; 任达华; 池内博之,"佛山武馆林立,叶问不开馆、不收徒,只想过日子。日军占领后,他站上了擂台。「我要打十个」成了华语动作片的名场面。",,2025-05-06,false
无间道,wu-jian-dao,,电影,动作; 悬疑,2002,中国香港,刘德华; 梁朝伟; 黄秋生; 曾志伟,"警察卧底在黑帮,黑帮卧底在警察。两个人都想拿回自己原本的身份,天台上的那场对话把港片拉回了巅峰。",,2025-06-02,true
周处除三害,zhou-chu-lai,,电影,动作; 犯罪,2023,中国台湾,阮经天; 袁富华; 陈以文; 王净,"通缉犯陈桂林查出自己活不长了,决定在死前把排在他前面的两个通缉犯干掉,好让人记住他的名字。中段的邪教戏份看得人后背发凉。",,2025-07-19,true
"你好,李焕英",ni-hao-li-huan-ying,,电影,喜剧; 亲情,2021,中国,贾玲; 张小斐; 沈腾; 陈赫,"母亲出车祸后,贾晓玲回到 1981 年,想让年轻的李焕英过得更好一点。笑了一路,最后一个反转把所有笑点全变成了眼泪。",,2025-03-15,false
夏洛特烦恼,xia-luo-fan-nao,,电影,喜剧; 爱情,2015,中国,沈腾; 马丽; 艾伦; 尹正,"夏洛在初恋的婚礼上撒酒疯,醒来回到了高中。他抄歌、成名、娶了校花,把当年想做没做的事全做了一遍,然后发现自己弄丢了马冬梅。",,2025-04-30,false
中邪,zhong-xie,,电影,恐怖; 悬疑,2016,中国,刘梦; 苏晓东; 王健伟,"两个学生跟拍农村「还人」仪式,越拍越不对劲。全片用伪纪录片手法拍成,成本极低,却是近年国产恐怖片里罕见的能把人吓住的一部。",,2025-08-21,false
双瞳,shuang-tong,,电影,恐怖; 悬疑,2002,中国台湾,梁家辉; 刘若英; 大卫·摩斯,"台北接连出现离奇命案,现场都留着道教符号。刑警黄火土一边查案一边被自己的过去缠住。华语恐怖片里少有的、把宗教和刑侦结合得这么狠的一部。",,2025-09-04,false
咒,zhou-2022,,电影,恐怖; 伪纪录,2022,中国台湾,蔡亘晏; 高英轩; 林敬伦,"六年前李若男闯入一个禁忌仪式,如今她的女儿开始出现异状。影片不断让观众「参与」祈福,把银幕内外的界限拆掉了。",,2025-09-18,false
疯狂的石头,feng-kuang-de-shi-tou,,电影,喜剧; 犯罪,2006,中国,郭涛; 刘桦; 连晋; 黄渤,"一块翡翠,三拨人抢:厂里的保卫科长、本地的三人小偷团伙、香港来的国际大盗。多线叙事像钟表一样咬合,黄渤的重庆话贡献了半部笑点。",,2025-05-24,false
宇宙探索编辑部,yu-zhou-tan-suo-bian-ji-bu,,电影,科幻; 喜剧,2021,中国,杨皓宇; 艾丽娅; 王一通; 蒋奇明,"一本快倒闭的科幻杂志的主编,带着几个人去西南山村找外星人。荒诞的公路旅程走到最后,变成了一个中年人对丧女之痛的自我和解。",,2025-06-27,false
独行月球,du-xing-yue-qiu,,电影,科幻; 喜剧,2022,中国,沈腾; 马丽; 常远; 李诚儒,"小行星撞向地球,月球基地全员撤离,只有维修工独孤月被落下了。他和一只袋鼠在月球上活着,而地球上的人正看着他的直播。",,2025-07-08,false
卧虎藏龙,wo-hu-cang-long,,电影,动作; 爱情,2000,中国,周润发; 杨紫琼; 章子怡; 张震,"青冥剑被盗,李慕白和俞秀莲追查到玉娇龙身上。竹林打斗成了武侠片的经典画面,而剑气之下藏着的是两代人都没说出口的情。",,2025-08-02,false
爱情神话,ai-qing-shen-hua,,电影,爱情; 喜剧,2021,中国,徐峥; 马伊琍; 倪虹洁; 周野芒,"上海老白的生活里有三个女人,还有一群爱聊天的朋友。沪语对白密集松弛,把中年人的体面、算计和可爱全说清楚了。",,2025-09-25,false
地久天长,di-jiu-tian-chang,,电影,爱情; 剧情,2019,中国,王景春; 咏梅; 齐溪; 王源,"两个工人家庭三十年的交情与亏欠:一场溺水事故、一次计划生育、一次下岗潮。时间被打散重排,痛处一点点浮上来。",,2025-10-06,false
奔跑吧,ben-pao-ba,,综艺,真人秀; 竞技,2024,中国,李晨; 郑恺; 沙溢; 白鹿; 范丞丞,"固定嘉宾加飞行嘉宾,每期一个城市、一个主题,撕名牌和体力游戏轮番上。国内户外竞技真人秀里跑得最久的一档。",,2025-04-12,false
极限挑战,ji-xian-tiao-zhan,,综艺,真人秀; 喜剧,2015,中国,黄渤; 孙红雷; 黄磊; 罗志祥; 王迅; 张艺兴,"「极挑男人帮」六个人,规则永远只讲一半,剩下的靠他们自己乱来。前几季的社会实验感和临场发挥,至今被观众拿来做对比标准。",,2025-05-18,true
向往的生活,xiang-wang-de-sheng-huo,,综艺,真人秀; 治愈,2017,中国,黄磊; 何炅; 彭昱畅; 张子枫,"几个人住在乡下的蘑菇屋,自己种菜、做饭、招待来的朋友。没什么冲突设计,慢下来的节奏本身就是卖点。",,2025-06-08,false
歌手,ge-shou,,综艺,音乐; 竞技,2024,中国,那英; 汪苏泷; 香缇莫; 海来阿木,"全开麦直播竞演,不修音不剪辑,一期一淘汰。2024 季因为直播形式重新引发全民讨论,「五旬老太守国门」成了当年的热梗。",,2025-07-25,true
乐队的夏天,yue-dui-de-xia-tian,,综艺,音乐; 竞技,2019,中国,马东; 张亚东; 高晓松; 新裤子乐队,"三十一支乐队同台竞演,把地下乐队推到了大众视野。新裤子、刺猬、九连真人的现场,让「乐队」这两个字在那年夏天重新热了起来。",,2025-08-14,false
脱口秀大会,tuo-kou-xiu-da-hui,,综艺,脱口秀; 喜剧,2020,中国,李诞; 罗永浩; 杨笠; 呼兰; 王勉,"五分钟一段稿子,现场投票淘汰。呼兰的班味、杨笠的性别观察、王勉的音乐脱口秀,把这门手艺推成了年轻人的日常谈资。",,2025-09-01,true
一年一度喜剧大赛,yi-nian-yi-du-xi-ju-da-sai,,综艺,脱口秀; 喜剧,2021,中国,马东; 黄渤; 李诞; 徐峥,"素描喜剧、漫才、默剧同台。《互联网体检》《这个杀手不太冷静》一类作品让人发现,喜剧不止小品一种做法。",,2025-09-29,false
明星大侦探,ming-xing-da-zhen-tan,,综艺,真人秀; 悬疑,2016,中国,何炅; 撒贝宁; 白敬亭; 魏大勋,"每期一个案子,六个人扮角色、找线索、互相指认,最后投票抓凶手。剧本工整,搞笑和推理两不误。",,2025-10-11,false
舌尖上的中国,she-jian-shang-de-zhong-guo,,纪录片,自然; 人文,2012,中国,李立宏(解说),"从松茸、莲藕到腌笃鲜,七集把中国人的吃拍成了一部关于土地和时间的片子。解说词克制,镜头贪吃,播出后带火了一整批地方食材。",,2025-01-16,true
河西走廊,he-xi-zou-lang,,纪录片,历史; 人文,2015,中国,王新源(解说),"从张骞出使西域讲到近代,十集串起河西走廊两千年。大量情景再现加上雅尼的配乐,把一条通道讲成了半部中国史。",,2025-02-08,false
我在故宫修文物,wo-zai-gu-gong-xiu-wen-wu,,纪录片,历史; 人文,2016,中国,王津; 屈峰; 王五胜,"钟表、青铜、书画、木器几个修复组的日常。师傅们在红墙里打杏子、骑车穿过太和门,把几百年的东西一点点修回来。",,2025-03-24,true
大国崛起,da-guo-jue-qi,,纪录片,历史; 经济,2006,中国,孙占山(解说),"葡萄牙、西班牙、荷兰、英国、法国、德国、日本、俄国、美国,九国五百年兴衰各成一集。当年在央视二套播出时引发了大量讨论。",,2025-04-26,false
地球脉动,di-qiu-mai-dong,,纪录片,自然; 生态,2016,英国,大卫·爱登堡(解说),"岛屿、山脉、丛林、沙漠、草原、城市六集。超高速摄影和航拍把动物世界拍出了剧情片的张力,鬣蜥逃脱蛇群的那段被反复引用。",,2025-05-14,true
蓝色星球 II,lan-se-xing-qiu,,纪录片,自然; 海洋,2017,英国,大卫·爱登堡(解说),"深潜器下到一千米,拍到了此前从未被记录的物种。最后一集把镜头转向塑料污染,直接推动了英国的一次性塑料政策讨论。",,2025-06-20,false
超级工程,chao-ji-gong-cheng,,纪录片,科技; 工程,2012,中国,李立宏(解说),"港珠澳大桥、上海中心、北京地铁网络、海上巨型风机、超级 LNG 船。五个工程,讲清楚了「怎么把它造出来」这件事本身有多难。",,2025-07-14,false
"你好,AI",ni-hao-ai,,纪录片,科技; 人文,2019,中国,周深(主题曲),五集拍人工智能怎么进入现实:敦煌壁画的数字化、无人驾驶卡车、AI 辅助医疗、机器翻译。技术之外更关心人怎么被改变。,,2025-08-28,false
流行病:如何预防大爆发,liu-xing-bing,,纪录片,科技; 医学,2020,美国,丹尼斯·卡罗尔; 西玛·亚斯敏,"六集跟拍全球公共卫生一线:病毒猎手在雨林采样,乡村医生在流感季奔波,疫苗研发者与时间赛跑。上线时间恰好赶上了现实。",,2025-09-12,false
中国通史,zhong-guo-tong-shi,,纪录片,历史; 人文,2013,中国,中国社会科学院历史研究所,"一百集,从中华文明起源讲到清朝灭亡。学者出镜加情景再现,是国内体量最大的通史类影像资料之一,适合当资料库反复查。",,2025-10-02,false
